city,locality,property_type,area_sqft,bhk,bathrooms,floor_no,total_floors,age_years,furnishing,parking,gym,pool,security,schools_score,hospitals_score,price
Pune,Koregaon Park,Apartment,1153.3,2,2,4,6,0,Semi-Furnished,1,1,0,1,4.66,6.64,22841000
Mumbai,Andheri West,Villa,1326.6,3,3,3,12,7,Unfurnished,1,1,0,1,6.73,4.46,42464000
Pune,Wakad,Apartment,988.7,2,1,0,4,1,Unfurnished,0,1,0,0,4.34,6.78,9316000
Nagpur,Dharampeth,Apartment,1325.6,2,1,6,7,2,Unfurnished,1,1,0,1,5.42,9.72,12724000
Pune,Koregaon Park,Apartment,405.9,1,1,0,1,3,Unfurnished,1,0,0,0,10.0,6.33,6170000
Nagpur,Manish Nagar,Apartment,628.0,1,1,2,9,2,Semi-Furnished,0,0,0,1,7.53,6.77,3501000
Nagpur,Manish Nagar,Villa,2295.2,3,3,0,12,8,Semi-Furnished,0,0,0,1,5.92,6.24,13991000
Pune,Kalyani Nagar,Plot,2872.4,0,0,0,0,0,Unfurnished,1,0,0,0,4.5,5.99,29364000
Pune,Hinjewadi,Plot,2607.0,0,0,0,0,0,Unfurnished,0,0,0,0,7.92,7.14,17094000
Pune,Kalyani Nagar,Apartment,1574.4,2,1,9,13,6,Unfurnished,1,0,0,1,7.8,3.63,19278000
Mumbai,Goregaon,Plot,3249.3,0,0,0,0,0,Unfurnished,1,0,0,0,4.13,4.88,46818000
Nagpur,Hingna,Apartment,1845.7,3,3,4,11,3,Furnished,1,0,0,0,5.87,3.69,6566000
Pune,Koregaon Park,Apartment,1530.2,3,3,1,4,1,Semi-Furnished,0,1,0,1,7.48,3.12,23967000
Pune,Hadapsar,Apartment,2182.8,4,4,0,7,8,Semi-Furnished,1,0,1,1,5.82,9.72,16498000
Pune,Hinjewadi,Villa,1895.0,4,4,6,7,2,Unfurnished,0,1,1,1,4.38,6.11,22805000
Mumbai,Chembur,Plot,3301.8,0,0,0,0,0,Unfurnished,1,0,0,0,6.95,5.75,58757000
Pune,Wagholi,Apartment,1766.0,3,2,4,7,0,Semi-Furnished,2,0,1,0,4.78,7.31,15243000
Nagpur,Wardha Road,Apartment,1504.2,2,1,3,5,0,Semi-Furnished,0,0,1,1,5.76,5.63,10666000
Nagpur,Besa,Apartment,1111.9,2,2,0,1,2,Furnished,0,0,0,1,5.14,9.47,5459000
Mumbai,Panvel,Apartment,1563.6,3,2,3,11,1,Semi-Furnished,2,1,0,0,5.23,5.95,16173000
Nagpur,Besa,Plot,1412.9,0,0,0,0,0,Unfurnished,1,0,0,0,9.5,5.24,4502000
Nagpur,Civil Lines,Plot,2832.0,0,0,0,0,0,Unfurnished,0,0,0,0,8.45,1.95,17351000
Pune,Wagholi,Plot,3265.5,0,0,0,0,0,Unfurnished,1,0,0,0,5.04,3.67,13931000
Pune,Kothrud,Apartment,1766.9,3,3,0,4,6,Semi-Furnished,1,1,0,0,8.12,7.57,21243000
Pune,Hinjewadi,Apartment,2582.1,4,3,3,8,21,Furnished,2,0,0,0,2.66,4.92,22038000
Mumbai,Bandra West,Villa,2670.9,5,4,9,10,11,Furnished,2,1,1,1,6.46,6.83,169672000
Pune,Wakad,Apartment,967.1,2,2,3,10,9,Unfurnished,0,0,0,1,4.63,2.78,7648000
Pune,Koregaon Park,Apartment,1322.8,2,1,3,8,2,,1,0,0,1,6.19,4.62,17835000
Pune,Wagholi,Apartment,1212.8,3,2,16,16,5,Furnished,1,0,0,1,4.41,6.85,8432000
Pune,Wakad,Apartment,1619.8,3,3,0,7,1,,2,0,0,1,6.96,7.07,16764000
Mumbai,Andheri West,Apartment,2432.1,4,4,14,24,10,Furnished,1,0,0,0,3.1,5.66,77188000
Mumbai,Andheri West,Plot,3263.0,0,0,0,0,0,Unfurnished,1,0,0,0,5.19,8.86,65971000
Nagpur,Kalmna,Apartment,1782.5,3,2,1,4,1,Unfurnished,0,1,0,1,6.31,5.39,5712000
Pune,Kalyani Nagar,Apartment,1396.9,3,3,5,12,3,Unfurnished,1,1,1,1,6.04,5.4,18892000
Pune,Wakad,Apartment,1042.4,2,1,2,5,4,Semi-Furnished,1,1,1,0,5.96,5.34,10536000
Pune,Baner,Plot,1804.5,0,0,0,0,0,Unfurnished,0,0,0,0,8.13,4.88,16791000
Pune,Hadapsar,Apartment,1458.9,2,2,1,1,22,Semi-Furnished,1,0,0,0,6.13,6.92,9876000
Nagpur,Wardha Road,Apartment,1216.7,2,2,4,9,3,Unfurnished,1,1,0,1,4.82,7.52,6948000
Mumbai,Malad,Apartment,1361.8,3,3,14,16,19,Semi-Furnished,1,0,0,0,5.39,7.76,24685000
Nagpur,Besa,Apartment,1104.3,2,2,10,17,3,Furnished,1,0,0,1,6.04,6.32,5204000
Nagpur,Hingna,Apartment,609.3,1,1,6,11,6,Unfurnished,1,0,0,1,8.08,6.39,2628000
Pune,Wagholi,Apartment,1509.1,3,3,7,7,45,Furnished,2,1,0,0,10.0,4.74,7125000
Nagpur,Dharampeth,Plot,2419.5,0,0,0,0,0,Unfurnished,0,0,0,0,7.4,7.03,11978000
Pune,Koregaon Park,Apartment,1425.1,2,2,4,7,11,Semi-Furnished,1,0,0,1,6.67,4.5,18839000
Nagpur,Manish Nagar,Villa,831.6,2,1,1,1,9,Semi-Furnished,1,0,0,1,6.75,7.62,5877000
Mumbai,Malad,Apartment,1671.1,3,2,14,17,1,Semi-Furnished,0,0,0,0,10.0,3.87,25201000
Nagpur,Ramdaspeth,Plot,866.5,0,0,0,0,0,Unfurnished,0,0,0,0,6.37,3.95,5388000
Nagpur,Ramdaspeth,Apartment,1079.3,2,1,1,2,2,Unfurnished,1,1,0,1,3.52,6.09,8740000
Mumbai,Bandra West,Apartment,1880.8,4,4,5,16,11,Semi-Furnished,0,1,0,0,5.88,4.72,80568000
Mumbai,Panvel,Apartment,1083.4,2,2,10,12,2,Unfurnished,1,1,0,1,8.97,7.94,13597000
Mumbai,Bandra West,Apartment,1316.7,2,1,7,10,9,Semi-Furnished,2,0,0,0,7.39,4.27,58535000
Mumbai,Malad,Apartment,1025.4,2,2,3,19,23,Semi-Furnished,1,1,0,1,5.03,3.31,15043000
Nagpur,Civil Lines,Apartment,2245.3,4,3,5,10,1,Furnished,2,0,0,1,4.53,1.45,24389000
Nagpur,Wardha Road,Apartment,1186.1,2,1,12,13,31,Furnished,0,0,0,0,7.69,4.75,5721000
Mumbai,Goregaon,Apartment,1093.1,2,2,11,20,2,Semi-Furnished,0,1,0,1,4.82,5.31,23950000
Pune,Wagholi,Apartment,444.1,1,1,2,4,5,Semi-Furnished,1,1,1,1,3.42,8.0,3080000
Mumbai,Andheri West,Plot,3559.0,0,0,0,0,0,Unfurnished,1,0,0,0,4.05,6.39,71138000
Nagpur,Wardha Road,Apartment,918.5,2,1,2,3,19,Unfurnished,2,0,0,1,1.33,6.14,4141000
Pune,Baner,Apartment,892.5,2,2,13,19,2,Unfurnished,0,0,0,1,5.85,5.76,10117000
Pune,Wakad,Plot,2500.0,0,0,0,0,0,Unfurnished,0,0,0,0,7.96,8.51,16569000
Nagpur,Civil Lines,Apartment,813.1,2,1,1,1,1,Semi-Furnished,1,0,0,1,6.18,5.79,7867000
Nagpur,Besa,Apartment,1898.2,3,2,1,1,11,Unfurnished,2,0,0,1,7.51,4.27,8782000
Nagpur,Manish Nagar,Villa,1264.2,2,1,8,11,2,Furnished,1,1,0,1,5.64,5.79,10681000
Mumbai,Goregaon,Apartment,500.8,1,1,2,15,9,Semi-Furnished,2,1,0,1,4.17,4.39,10409000
Nagpur,Besa,Plot,2007.0,0,0,0,0,0,Unfurnished,0,0,0,0,5.17,7.88,5843000
Mumbai,Chembur,Plot,2373.7,0,0,0,0,0,Unfurnished,1,0,0,0,9.64,6.28,34630000
Mumbai,Powai,Apartment,1680.2,4,3,10,17,2,Semi-Furnished,2,1,0,0,2.92,4.72,43905000
Mumbai,Malad,Apartment,722.1,2,2,5,6,0,Furnished,1,1,0,1,6.76,5.63,13545000
Mumbai,Panvel,Plot,2074.6,0,0,0,0,0,Unfurnished,1,0,0,0,6.87,7.89,13908000
Nagpur,Manish Nagar,Apartment,1005.7,2,1,6,17,3,Semi-Furnished,1,0,0,0,6.23,6.21,5712000
Mumbai,Goregaon,Apartment,442.4,1,1,8,11,0,Semi-Furnished,1,0,0,0,2.74,6.05,9255000
Nagpur,Manish Nagar,Plot,1827.3,0,0,0,0,0,Unfurnished,0,0,0,0,5.51,7.12,6355000
Mumbai,Malad,Plot,2218.5,0,0,0,0,0,Unfurnished,0,0,0,0,6.05,6.3,24348000
Mumbai,Powai,Apartment,2822.7,5,5,9,16,16,Semi-Furnished,0,1,0,0,7.81,3.78,61183000
Nagpur,Besa,Apartment,999.6,2,1,2,7,7,Unfurnished,1,1,0,0,4.69,7.34,3740000
Mumbai,Powai,Apartment,2841.5,4,3,13,20,6,Unfurnished,0,1,0,0,7.5,5.74,75598000
Mumbai,Malad,Apartment,965.9,2,1,8,16,16,Unfurnished,1,1,0,1,2.42,6.35,15892000
Nagpur,Hingna,Plot,2152.2,0,0,0,0,0,Unfurnished,1,0,0,0,5.89,6.63,5455000
Nagpur,Manish Nagar,Apartment,1885.5,3,2,3,12,11,Semi-Furnished,1,0,0,1,4.89,8.95,10141000
Mumbai,Powai,Villa,1322.4,2,1,13,13,2,Furnished,1,1,0,1,6.5,4.2,52923000
Nagpur,Hingna,Apartment,1234.7,3,3,1,1,3,Semi-Furnished,1,1,0,1,9.33,6.27,5269000
Pune,Wakad,Apartment,981.1,2,1,8,8,18,Unfurnished,1,0,1,1,8.58,8.6,9898000
Nagpur,Manish Nagar,Apartment,416.9,1,1,0,4,2,Unfurnished,0,1,1,1,4.97,5.63,1898000
Pune,Kothrud,Apartment,1056.1,2,2,0,1,2,,1,0,0,1,4.21,5.41,12084000
Pune,Wakad,Apartment,1363.3,2,1,0,8,5,Semi-Furnished,2,0,1,1,7.36,7.58,16292000
Pune,Kothrud,Apartment,1354.4,3,2,2,2,6,Unfurnished,1,0,0,1,7.33,1.8,16068000
Pune,Hinjewadi,Apartment,2007.6,5,4,0,11,12,Unfurnished,1,0,0,1,8.41,4.6,17435000
Nagpur,Besa,Plot,3203.2,0,0,0,0,0,Unfurnished,1,0,0,0,5.78,4.12,9624000
Pune,Hadapsar,Apartment,1316.6,2,1,0,4,9,Furnished,1,0,0,1,9.79,6.99,10965000
Pune,Hinjewadi,Apartment,2474.7,4,4,5,10,2,Unfurnished,0,1,0,0,4.66,7.43,21286000
Nagpur,Dharampeth,Apartment,1111.5,2,1,12,13,13,Unfurnished,1,0,0,1,6.93,5.74,7444000
Nagpur,Ramdaspeth,Apartment,1808.2,3,3,1,8,10,Semi-Furnished,1,0,0,1,3.51,9.04,13132000
Nagpur,Kalmna,Apartment,1806.7,3,2,0,1,0,Unfurnished,1,1,0,1,6.27,6.3,5462000
Pune,Koregaon Park,Apartment,2649.1,4,3,1,1,7,Semi-Furnished,1,0,0,1,4.35,9.23,42297000
Nagpur,Wardha Road,Apartment,1581.1,2,1,2,2,0,Furnished,0,0,0,1,7.78,6.47,11699000
Pune,Baner,Plot,1193.6,0,0,0,0,0,Unfurnished,0,0,0,0,4.6,6.5,10224000
Pune,Kothrud,Apartment,1238.8,3,2,0,8,3,Semi-Furnished,2,0,1,1,7.23,3.69,12697000
Nagpur,Wardha Road,Plot,3198.0,0,0,0,0,0,Unfurnished,1,0,0,0,4.98,9.49,12748000
Nagpur,Kalmna,Apartment,423.4,1,1,6,15,13,Furnished,0,0,0,0,6.74,5.65,1476000
Pune,Wagholi,Apartment,1733.3,3,3,13,14,1,Semi-Furnished,1,1,0,0,7.91,5.01,12399000
Nagpur,Wardha Road,Apartment,1028.1,2,2,0,4,0,Semi-Furnished,2,0,0,1,6.69,7.26,6104000
Pune,Kothrud,Plot,3631.2,0,0,0,0,0,Unfurnished,1,0,0,0,3.31,7.03,25396000
Pune,Kothrud,Apartment,342.8,1,1,2,3,2,Semi-Furnished,1,0,0,0,4.49,7.25,3640000
Mumbai,Andheri West,Apartment,2082.4,4,4,4,7,3,Unfurnished,2,0,0,1,7.78,4.17,62315000
Pune,Koregaon Park,Villa,994.7,2,2,0,6,20,Furnished,1,0,0,0,10.0,7.72,22689000
Nagpur,Manish Nagar,Apartment,1974.8,3,3,0,1,4,Unfurnished,0,1,0,1,5.53,5.13,10262000
Nagpur,Hingna,Apartment,730.4,1,1,0,4,4,Unfurnished,1,0,0,1,4.79,9.14,2496000
Pune,Wagholi,Plot,1696.6,0,0,0,0,0,Unfurnished,0,0,0,0,6.2,7.79,7810000
Nagpur,Kalmna,Apartment,2023.0,4,4,3,3,4,Unfurnished,1,0,0,1,3.1,6.2,7455000
Pune,Hadapsar,Apartment,1212.6,2,2,4,12,5,Unfurnished,0,0,0,1,5.88,8.43,8723000
Pune,Hadapsar,Apartment,525.2,1,1,0,5,6,Semi-Furnished,1,1,0,1,4.41,5.47,4317000
Mumbai,Chembur,Villa,1053.2,2,2,6,7,2,Semi-Furnished,1,1,0,1,4.77,3.26,29395000
Nagpur,Dharampeth,Apartment,460.3,1,1,1,13,6,Unfurnished,2,0,1,1,6.23,7.25,3830000
Mumbai,Malad,Apartment,682.4,1,1,0,9,5,Semi-Furnished,1,1,0,0,6.13,5.97,11485000
Mumbai,Panvel,Apartment,1684.2,3,3,13,17,8,Unfurnished,1,0,0,0,6.17,5.06,15858000
Pune,Baner,Plot,2540.7,0,0,0,0,0,Unfurnished,1,0,0,0,4.72,6.25,19233000
Nagpur,Kalmna,Apartment,2129.1,3,3,1,8,6,Unfurnished,2,1,0,1,7.24,3.16,7128000
Mumbai,Malad,Plot,1654.3,0,0,0,0,0,Unfurnished,0,0,0,0,5.52,4.64,19224000
Pune,Wakad,Villa,727.6,1,1,6,11,1,Unfurnished,0,0,0,1,7.17,5.62,9288000
Mumbai,Goregaon,Apartment,959.5,2,2,0,10,6,Unfurnished,2,1,0,1,4.54,7.45,19617000
Mumbai,Bandra West,Apartment,1327.4,3,2,5,13,1,Unfurnished,1,1,0,1,10.0,6.8,63383000
Nagpur,Civil Lines,Apartment,1838.7,3,3,8,8,8,Furnished,2,0,0,0,4.72,7.0,17453000
Pune,Wagholi,Apartment,984.2,2,1,0,1,27,Semi-Furnished,1,1,0,0,7.29,3.29,3748000
Pune,Wagholi,Apartment,1170.3,2,1,6,9,2,Unfurnished,2,1,0,0,5.76,7.4,8532000
Nagpur,Kalmna,Apartment,2373.0,4,3,6,12,7,Unfurnished,0,1,1,1,4.4,8.65,7796000
Mumbai,Bandra West,Apartment,1372.9,2,1,13,18,12,Semi-Furnished,1,0,1,1,3.3,6.73,56655000
Pune,Wakad,Apartment,850.9,2,1,2,15,4,Semi-Furnished,1,0,0,1,9.45,8.18,10030000
Pune,Kothrud,Apartment,951.7,2,2,2,16,1,Semi-Furnished,2,0,0,0,8.41,5.9,12168000
Nagpur,Civil Lines,Apartment,1872.0,3,2,1,7,4,Unfurnished,1,0,0,1,6.46,7.15,17000000
Pune,Wakad,Apartment,1981.1,3,3,6,11,3,Unfurnished,1,0,0,1,5.21,2.4,14691000
Nagpur,Hingna,Apartment,750.5,2,1,2,13,25,Unfurnished,1,0,0,0,7.38,5.75,1933000
Nagpur,Ramdaspeth,Apartment,1336.2,2,2,1,1,0,Semi-Furnished,1,1,0,1,6.6,10.0,12481000
Pune,Hinjewadi,Apartment,1470.6,2,1,12,12,6,Unfurnished,1,0,0,1,9.94,6.58,15632000
Nagpur,Wardha Road,Plot,1287.8,0,0,0,0,0,Unfurnished,0,0,0,0,7.71,6.48,6728000
Pune,Koregaon Park,Plot,3512.9,0,0,0,0,0,Unfurnished,0,0,0,0,4.8,9.32,33361000
Mumbai,Malad,Villa,611.9,1,1,16,18,0,Unfurnished,2,1,0,0,5.79,3.04,14680000
Nagpur,Dharampeth,Apartment,2580.0,5,4,11,11,11,Semi-Furnished,1,0,0,0,5.4,4.75,21910000
Pune,Wagholi,Apartment,1239.1,2,2,3,7,8,Furnished,1,1,0,1,5.37,7.27,8180000
Pune,Koregaon Park,Apartment,1137.9,2,1,0,4,12,Semi-Furnished,1,0,0,1,3.56,7.53,16818000
Pune,Baner,Villa,1393.8,2,2,1,8,9,Unfurnished,0,0,0,1,9.99,5.76,23084000
Mumbai,Andheri West,Apartment,1837.7,3,2,8,13,4,Furnished,1,0,0,0,7.26,8.52,58783000
Mumbai,Malad,Apartment,1538.8,3,3,9,17,4,Semi-Furnished,0,1,0,0,8.63,4.33,38923000
Nagpur,Besa,Apartment,1141.0,2,1,7,12,5,Semi-Furnished,1,0,0,1,7.07,7.67,6443000
Nagpur,Wardha Road,Apartment,1641.3,3,3,7,10,22,Unfurnished,1,0,0,1,10.0,5.47,9229000
Mumbai,Powai,Apartment,1577.5,3,2,7,7,9,Semi-Furnished,1,1,0,0,6.94,6.96,47837000
Nagpur,Besa,Villa,1054.5,2,1,0,3,8,Unfurnished,1,0,1,0,8.39,5.51,5938000
Pune,Kothrud,Apartment,1037.5,2,2,0,7,13,Unfurnished,1,0,0,1,7.9,7.57,10320000
Pune,Koregaon Park,Plot,1066.5,0,0,0,0,0,Unfurnished,1,0,0,0,4.54,4.93,11131000
Mumbai,Bandra West,Apartment,1812.7,3,3,3,17,23,Furnished,1,1,0,1,6.96,8.51,75939000
Pune,Wakad,Apartment,860.6,2,2,0,1,1,Unfurnished,1,0,0,1,6.29,7.73,8687000
Nagpur,Besa,Apartment,1738.2,3,3,0,1,3,Semi-Furnished,2,0,0,1,7.67,8.22,9201000
Nagpur,Ramdaspeth,Apartment,1052.4,3,3,2,8,11,Furnished,0,1,0,1,5.32,8.09,9910000
Pune,Koregaon Park,Apartment,3267.0,5,4,1,1,5,Unfurnished,0,1,0,1,6.59,7.06,50927000
Pune,Kalyani Nagar,Villa,613.7,1,1,2,6,4,Semi-Furnished,0,0,0,1,7.09,7.07,11974000
Pune,Wagholi,Apartment,1273.7,2,2,9,11,10,Unfurnished,1,0,0,1,4.12,7.17,7626000
Mumbai,Bandra West,Apartment,2499.3,5,4,1,19,14,Semi-Furnished,2,0,0,0,5.87,4.83,97345000
Nagpur,Civil Lines,Villa,1238.4,2,1,2,5,2,Furnished,1,0,0,1,5.46,5.09,16918000
Pune,Koregaon Park,Plot,2775.5,0,0,0,0,0,Unfurnished,0,0,0,0,6.67,7.49,34972000
Mumbai,Mira Road,Apartment,611.7,1,1,6,22,9,Furnished,0,0,0,1,6.22,3.63,9260000
Pune,Hadapsar,Villa,1614.7,3,2,0,2,19,Semi-Furnished,1,0,0,0,7.88,4.88,14264000
Mumbai,Mira Road,Villa,1303.9,3,2,10,14,11,Unfurnished,1,1,0,1,6.78,2.42,18305000
Nagpur,Manish Nagar,Apartment,1993.9,3,2,4,6,0,Unfurnished,1,0,1,1,7.68,9.28,12258000
Mumbai,Mira Road,Apartment,1095.4,2,1,2,14,5,Unfurnished,1,0,0,0,5.6,8.96,14214000
Pune,Kothrud,Plot,3578.1,0,0,0,0,0,Unfurnished,1,0,0,0,4.13,3.99,25430000
Pune,Hadapsar,Apartment,925.5,2,2,17,18,5,Unfurnished,1,1,1,1,4.13,3.78,6338000
Pune,Wakad,Apartment,2410.2,4,4,4,6,2,,1,0,0,1,6.64,8.18,20339000
Pune,Koregaon Park,Apartment,1771.8,3,2,1,7,3,Unfurnished,1,0,0,1,7.29,7.57,28570000
Pune,Hinjewadi,Apartment,698.6,1,1,4,4,0,Semi-Furnished,1,0,0,0,8.06,6.99,7169000
Mumbai,Chembur,Apartment,2696.3,5,4,10,10,6,Unfurnished,0,1,0,1,4.9,5.16,56708000
Mumbai,Goregaon,Apartment,1306.7,2,2,1,4,14,Furnished,1,1,0,0,5.78,7.03,26804000
Nagpur,Kalmna,Apartment,2252.0,3,3,0,4,2,Unfurnished,2,0,0,1,6.03,9.38,6995000
Nagpur,Kalmna,Apartment,819.0,2,2,7,10,2,Semi-Furnished,1,0,0,0,6.07,7.46,3163000
Nagpur,Dharampeth,Plot,2022.4,0,0,0,0,0,Unfurnished,0,0,0,0,4.86,3.35,8006000
Pune,Koregaon Park,Villa,1792.1,3,2,4,5,1,Unfurnished,1,0,0,1,8.41,1.46,41604000
Pune,Hinjewadi,Apartment,2413.7,4,4,11,11,2,Unfurnished,2,0,1,1,5.29,5.16,25518000
Nagpur,Wardha Road,Villa,680.3,1,1,7,13,5,Unfurnished,0,0,0,0,7.05,5.98,4554000
Nagpur,Civil Lines,Villa,1305.2,2,2,1,9,5,Semi-Furnished,1,0,0,1,6.13,6.52,18883000
Pune,Wagholi,Villa,2612.8,4,3,0,1,11,Semi-Furnished,0,1,0,1,6.47,4.65,19563000
Pune,Koregaon Park,Plot,4033.3,0,0,0,0,0,Unfurnished,1,0,0,0,7.56,8.5,48922000
Pune,Baner,Villa,320.0,1,1,4,4,5,Unfurnished,1,1,0,1,7.9,7.9,4163000
Mumbai,Mira Road,Plot,3481.3,0,0,0,0,0,Unfurnished,1,0,0,0,9.25,1.0,31661000
Mumbai,Chembur,Apartment,949.1,2,1,4,18,4,Semi-Furnished,0,0,0,1,6.44,8.58,22807000
Nagpur,Besa,Villa,964.6,2,2,10,12,6,Furnished,1,1,0,1,4.65,7.78,5189000
Pune,Kothrud,Apartment,1226.7,2,2,3,8,4,Semi-Furnished,1,1,0,1,6.59,5.42,14221000
Nagpur,Wardha Road,Apartment,333.6,1,1,0,2,3,Furnished,0,0,0,1,9.12,7.56,2124000
Nagpur,Wardha Road,Plot,2747.2,0,0,0,0,0,Unfurnished,1,0,0,0,5.29,4.71,10807000
Nagpur,Civil Lines,Apartment,1096.0,2,1,10,10,5,Unfurnished,0,1,1,1,6.64,7.36,14128000
Mumbai,Mira Road,Plot,1401.7,0,0,0,0,0,Unfurnished,0,0,0,0,8.26,6.03,10929000
Pune,Kothrud,Apartment,1353.3,3,2,6,7,8,Furnished,1,0,0,1,6.7,9.09,18074000
Pune,Kothrud,Apartment,646.8,2,2,6,13,2,Semi-Furnished,1,0,0,1,5.32,5.3,6577000
Pune,Koregaon Park,Apartment,1851.0,3,2,10,10,0,Semi-Furnished,1,0,0,1,6.21,3.27,26582000
Pune,Hadapsar,Apartment,1154.8,3,3,20,20,21,Unfurnished,1,0,1,1,7.3,6.03,9120000
Mumbai,Mira Road,Villa,1059.4,2,2,4,17,3,Semi-Furnished,1,0,0,1,4.28,4.36,17877000
Nagpur,Dharampeth,Apartment,1036.8,2,1,3,11,27,Semi-Furnished,0,0,0,0,9.87,4.38,7159000
Mumbai,Panvel,Apartment,1866.5,3,3,2,11,6,Semi-Furnished,0,0,0,1,6.59,7.38,23045000
Pune,Baner,Villa,1624.8,2,1,7,11,8,Semi-Furnished,2,1,0,0,9.75,6.76,26490000
Nagpur,Besa,Apartment,1069.1,2,1,15,17,7,Furnished,1,0,0,1,6.49,3.89,4748000
Mumbai,Goregaon,Plot,2682.8,0,0,0,0,0,Unfurnished,1,0,0,0,6.83,4.57,37210000
Nagpur,Civil Lines,Apartment,1455.9,2,1,4,5,3,Unfurnished,1,0,0,1,5.74,4.52,12746000
Pune,Wakad,Apartment,1627.0,3,2,3,5,12,Furnished,1,0,0,1,8.11,5.38,15885000
Mumbai,Chembur,Apartment,1478.6,2,1,11,21,29,Furnished,1,0,1,0,6.6,6.05,36451000
Pune,Hadapsar,Apartment,1143.7,2,1,5,8,1,Unfurnished,0,0,0,0,5.1,8.69,8360000
Nagpur,Kalmna,Apartment,1043.6,2,2,1,1,3,Unfurnished,1,1,0,1,9.6,4.52,3674000
Nagpur,Ramdaspeth,Apartment,925.4,2,2,7,7,11,Semi-Furnished,2,0,0,1,6.51,10.0,8352000
Nagpur,Wardha Road,Apartment,1962.3,4,3,3,4,5,Unfurnished,2,0,0,0,8.57,6.37,13428000
Mumbai,Bandra West,Apartment,1922.9,3,2,3,11,5,Semi-Furnished,1,1,0,0,5.6,5.54,89241000
Nagpur,Wardha Road,Apartment,1355.3,3,2,5,12,9,Unfurnished,1,0,0,1,5.53,7.8,6424000
Nagpur,Hingna,Apartment,1191.7,4,3,13,14,7,Furnished,2,0,0,1,6.68,5.79,5104000
Pune,Wakad,Apartment,1350.4,2,2,12,15,9,Semi-Furnished,2,1,0,0,6.24,5.49,13391000
Mumbai,Mira Road,Plot,2867.4,0,0,0,0,0,Unfurnished,1,0,0,0,7.72,9.03,28672000
Nagpur,Wardha Road,Apartment,1295.1,2,1,1,4,28,Unfurnished,2,0,0,0,4.08,1.0,5068000
Pune,Kothrud,Apartment,1471.1,3,2,20,21,1,Furnished,0,0,0,1,8.54,5.27,18276000
Pune,Kalyani Nagar,Apartment,1932.8,3,2,10,18,2,Furnished,2,0,0,1,9.7,4.78,28957000
Nagpur,Besa,Villa,538.3,1,1,4,7,2,Unfurnished,2,0,1,1,6.86,4.94,3579000
Pune,Hadapsar,Apartment,589.7,1,1,6,6,11,,2,0,0,1,6.15,4.97,4691000
Nagpur,Ramdaspeth,Apartment,1338.2,3,2,1,1,0,Furnished,1,0,0,1,4.74,7.76,14118000
Mumbai,Powai,Apartment,901.2,2,1,15,17,28,Furnished,1,1,0,1,6.22,5.31,25812000
Mumbai,Mira Road,Apartment,1111.1,2,2,2,12,5,Unfurnished,0,0,0,0,5.53,5.01,12317000
Nagpur,Besa,Apartment,1352.8,3,3,5,15,0,Unfurnished,1,0,1,0,5.45,5.66,7251000
Pune,Koregaon Park,Apartment,2111.8,3,2,3,5,2,Semi-Furnished,0,0,0,1,7.46,5.93,35618000
Mumbai,Goregaon,Apartment,320.0,1,1,0,12,5,Furnished,2,1,0,0,8.13,7.8,8409000
Nagpur,Civil Lines,Villa,593.1,1,1,1,12,8,Semi-Furnished,1,0,0,1,6.19,5.13,6444000
Nagpur,Civil Lines,Apartment,1520.1,3,2,0,1,13,Semi-Furnished,1,0,0,1,6.43,4.84,16084000
Pune,Kothrud,Apartment,2338.4,4,3,4,5,2,Unfurnished,1,0,0,1,8.71,5.25,28039000
Nagpur,Manish Nagar,Apartment,1551.7,3,2,4,7,17,,0,0,0,0,5.9,6.41,7985000
Nagpur,Wardha Road,Apartment,1467.1,2,1,3,5,16,Furnished,1,0,1,0,8.25,4.82,10280000
Pune,Wakad,Plot,1756.8,0,0,0,0,0,Unfurnished,0,0,0,0,7.66,8.67,13075000
Pune,Kalyani Nagar,Apartment,1142.1,2,2,8,9,0,Furnished,1,0,0,1,5.3,6.49,19588000
Mumbai,Goregaon,Apartment,826.4,2,1,10,13,0,Furnished,1,1,0,1,5.64,2.58,17161000
Pune,Wagholi,Apartment,1053.6,2,1,1,7,1,Furnished,1,0,0,1,6.14,5.12,7903000
Mumbai,Goregaon,Apartment,357.1,1,1,10,13,0,Semi-Furnished,1,0,0,1,5.61,5.85,7365000
Mumbai,Panvel,Apartment,2236.2,4,3,5,21,0,Unfurnished,1,0,0,0,8.4,5.04,21297000
Mumbai,Panvel,Apartment,1126.0,2,1,9,10,8,Semi-Furnished,1,0,0,0,8.89,6.18,11263000
Nagpur,Dharampeth,Apartment,823.8,1,1,4,5,6,,1,0,0,0,5.11,5.28,7484000
Pune,Hinjewadi,Apartment,2642.2,4,3,4,9,6,Unfurnished,1,1,0,1,4.74,8.48,27842000
Pune,Koregaon Park,Apartment,2169.4,3,2,1,2,16,Semi-Furnished,2,0,0,1,6.83,9.22,38665000
Nagpur,Dharampeth,Apartment,1001.0,2,2,3,6,10,Furnished,1,0,0,1,4.77,4.15,7558000
Pune,Koregaon Park,Apartment,2726.4,4,3,8,15,16,Unfurnished,1,0,1,1,9.93,5.85,34645000
Pune,Hinjewadi,Apartment,574.8,1,1,1,1,4,Furnished,2,1,0,1,4.28,5.9,6086000
Mumbai,Panvel,Apartment,1817.4,3,3,4,11,1,Unfurnished,1,0,0,0,4.17,7.52,17418000
